length of strings, compression ratio of s1, compression ratio of s2 , joint compression , Mutual compression crossed(s1:s1), Mutual compression crossed(s2:s2), Mutual compression crossed(s1:s2), Mutual compression crossed(s1:s2), s1, s2 
298,1.4060402684563758,1.429530201342282,1.3439597315436242,2.557046979865772,2.6677852348993287,2.6677852348993287,2.6677852348993287,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010
307,1.4104234527687296,1.4332247557003257,1.3697068403908794,2.547231270358306,2.6807817589576546,2.6807817589576546,2.6807817589576546,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010
316,1.4145569620253164,1.4145569620253164,1.3686708860759493,2.588607594936709,2.689873417721519,2.689873417721519,2.689873417721519,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010
325,1.396923076923077,1.4184615384615384,1.3676923076923078,2.5723076923076924,2.649230769230769,2.649230769230769,2.649230769230769,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101
334,1.3802395209580838,1.4221556886227544,1.3667664670658684,2.55688622754491,2.682634730538922,2.682634730538922,2.682634730538922,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111
343,1.3848396501457727,1.4256559766763848,1.3658892128279883,2.5481049562682214,2.6705539358600583,2.6705539358600583,2.6705539358600583,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011
352,1.3892045454545454,1.4289772727272727,1.3536931818181819,2.585227272727273,2.659090909090909,2.659090909090909,2.659090909090909,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010
361,1.3933518005540166,1.4321329639889198,1.353185595567867,2.5761772853185594,2.670360110803324,2.670360110803324,2.670360110803324,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001
370,1.3972972972972972,1.4162162162162162,1.3527027027027028,2.5675675675675675,2.635135135135135,2.635135135135135,2.635135135135135,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011
379,1.4010554089709764,1.4195250659630607,1.3627968337730871,2.6015831134564644,2.688654353562005,2.688654353562005,2.688654353562005,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100
388,1.3865979381443299,1.4046391752577319,1.3621134020618557,2.5876288659793816,2.672680412371134,2.672680412371134,2.672680412371134,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001
397,1.3904282115869018,1.4080604534005037,1.3614609571788414,2.53904282115869,2.6624685138539044,2.6624685138539044,2.6624685138539044,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101
406,1.3940886699507389,1.3940886699507389,1.3411330049261083,2.5320197044334973,2.6699507389162562,2.6699507389162562,2.6699507389162562,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011
415,1.380722891566265,1.3975903614457832,1.3506024096385543,2.559036144578313,2.6771084337349396,2.6771084337349396,2.6771084337349396,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010
424,1.384433962264151,1.400943396226415,1.3313679245283019,2.55188679245283,2.667452830188679,2.667452830188679,2.667452830188679,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111
433,1.371824480369515,1.3879907621247114,1.3591224018475752,2.5773672055427252,2.6166281755196303,2.6166281755196303,2.6166281755196303,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001
442,1.3597285067873304,1.3914027149321266,1.340497737556561,2.6018099547511313,2.6244343891402715,2.6244343891402715,2.6244343891402715,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011
451,1.3636363636363635,1.394678492239468,1.3226164079822615,2.5942350332594235,2.6341463414634148,2.6341463414634148,2.6341463414634148,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010
460,1.367391304347826,1.382608695652174,1.3402173913043478,2.5869565217391304,2.623913043478261,2.623913043478261,2.623913043478261,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110
469,1.371002132196162,1.3859275053304905,1.3315565031982943,2.579957356076759,2.5991471215351813,2.5991471215351813,2.5991471215351813,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101000100010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110111000110
478,1.3598326359832635,1.389121338912134,1.3399581589958158,2.569037656903766,2.6066945606694563,2.6066945606694563,2.6066945606694563,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101000100010110000111,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110111000110011110110
487,1.3634496919917864,1.3921971252566736,1.3480492813141685,2.5626283367556466,2.59958932238193,2.59958932238193,2.59958932238193,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101000100010110000111000100100,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110111000110011110110011010010
496,1.3669354838709677,1.3810483870967742,1.3316532258064515,2.588709677419355,2.622983870967742,2.622983870967742,2.622983870967742,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101000100010110000111000100100111100011,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110111000110011110110011010010110000010
505,1.3564356435643565,1.384158415841584,1.3237623762376238,2.5782178217821783,2.62970297029703,2.62970297029703,2.62970297029703,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101000100010110000111000100100111100011011000110,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110111000110011110110011010010110000010000110011
514,1.359922178988327,1.3735408560311284,1.3317120622568093,2.603112840466926,2.6361867704280155,2.6361867704280155,2.6361867704280155,1111111011110111010000000001100001101010100000001100111100010101101000010010000110100111001011110001010100011001011100101100100010011010100011001010100101001001100100000010010001010110010011000111010001010110101001110000010011000111000010001000011110101101001101111010100001111000010100011011010011111100001001011110100101001000101001000100001100101111110100010000101110000110110010100101111110100101100111000000100001001001011101011101001011101010010001011101000100010110000111000100100111100011011000110110011010,0000100111110110110001100111111010100101111100100111111001001100111101100000101000111111010100110000011000111101011001010010010111010001001101010010110011000000111000110001001000100010101111011010010100000110011110100110000010001110001110101101010110111101000101111110001111111100101100110101111010110001010111110010001010101010101111011000011011100010011001001010011011011011100111111001001011101010100011011111010000100111110010001111011011010101010111000110111000110011110110011010010110000010000110011011110110
