length of strings, compression ratio of s1, compression ratio of s2 , joint compression , Mutual compression crossed2(s1:s1), Mutual compression crossed2(s2:s2), Mutual compression crossed2(s1:s2), Mutual compression crossed2(s2:s1), s1, s2 
253,1.434782608695652,1.434782608695652,1.3675889328063242,1.2727272727272727,1.3280632411067195,1.3557312252964426,1.300395256916996,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000
262,1.4389312977099236,1.4122137404580153,1.3740458015267176,1.3091603053435115,1.3091603053435115,1.3358778625954197,1.3091603053435115,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101
271,1.4169741697416973,1.4169741697416973,1.3800738007380073,1.3173431734317342,1.3173431734317342,1.3431734317343174,1.3173431734317342,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000
280,1.4214285714285715,1.4214285714285715,1.3482142857142858,1.3,1.3,1.35,1.325,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000
289,1.42560553633218,1.42560553633218,1.3719723183391004,1.2837370242214532,1.259515570934256,1.342560553633218,1.2837370242214532,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101
298,1.429530201342282,1.429530201342282,1.3708053691275168,1.25503355704698,1.308724832214765,1.308724832214765,1.308724832214765,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101
307,1.4104234527687296,1.4104234527687296,1.3697068403908794,1.299674267100977,1.299674267100977,1.3257328990228012,1.3257328990228012,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111
316,1.4145569620253164,1.4145569620253164,1.3686708860759493,1.3196202531645569,1.3196202531645569,1.3196202531645569,1.3449367088607596,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010
325,1.4184615384615384,1.4184615384615384,1.3553846153846154,1.3138461538461539,1.2646153846153847,1.3384615384615384,1.3384615384615384,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101
334,1.4221556886227544,1.4221556886227544,1.3787425149700598,1.3083832335329342,1.284431137724551,1.3083832335329342,1.3323353293413174,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010
343,1.4256559766763848,1.4256559766763848,1.3542274052478134,1.2798833819241981,1.2798833819241981,1.3498542274052479,1.3265306122448979,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010
352,1.4289772727272727,1.4090909090909092,1.3423295454545454,1.2755681818181819,1.2727272727272727,1.3210227272727273,1.3181818181818181,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010
361,1.4321329639889198,1.3933518005540166,1.353185595567867,1.2493074792243768,1.2880886426592797,1.3157894736842106,1.2880886426592797,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100
370,1.4351351351351351,1.3972972972972972,1.3635135135135135,1.3108108108108107,1.2837837837837838,1.3324324324324324,1.3054054054054054,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111
379,1.437994722955145,1.4010554089709764,1.3733509234828496,1.2849604221635884,1.279683377308707,1.3271767810026385,1.3007915567282322,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011
388,1.440721649484536,1.3865979381443299,1.3827319587628866,1.2809278350515463,1.2938144329896908,1.3221649484536082,1.3144329896907216,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001
397,1.4256926952141058,1.3904282115869018,1.371536523929471,1.2947103274559193,1.2896725440806045,1.2947103274559193,1.3299748110831233,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011
406,1.4285714285714286,1.3940886699507389,1.3706896551724137,1.29064039408867,1.3054187192118227,1.3103448275862069,1.3054187192118227,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111
415,1.4313253012048193,1.380722891566265,1.3506024096385543,1.2867469879518072,1.2987951807228915,1.306024096385542,1.3373493975903614,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100
424,1.4339622641509433,1.384433962264151,1.3596698113207548,1.3018867924528301,1.294811320754717,1.3018867924528301,1.3325471698113207,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010
433,1.420323325635104,1.3879907621247114,1.3683602771362586,1.2586605080831408,1.3094688221709008,1.2956120092378753,1.2909930715935334,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111
442,1.4230769230769231,1.3755656108597285,1.340497737556561,1.2737556561085972,1.3031674208144797,1.3099547511312217,1.2850678733031675,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101
451,1.4257206208425721,1.3791574279379157,1.3669623059866962,1.270509977827051,1.3170731707317074,1.3059866962305986,1.2993348115299335,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001
460,1.4130434782608696,1.382608695652174,1.357608695652174,1.2652173913043478,1.3130434782608695,1.3,1.2956521739130435,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010
469,1.415778251599147,1.3859275053304905,1.3486140724946696,1.279317697228145,1.3091684434968016,1.3134328358208955,1.3091684434968016,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110100000010,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010000101101
478,1.403765690376569,1.3744769874476988,1.3399581589958158,1.2740585774058577,1.286610878661088,1.2740585774058577,1.286610878661088,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110100000010011011100,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010000101101101000010
487,1.406570841889117,1.37782340862423,1.3480492813141685,1.271047227926078,1.2833675564681726,1.2874743326488707,1.299794661190965,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110100000010011011100010000110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010000101101101000010000010110
496,1.409274193548387,1.3669354838709677,1.3316532258064515,1.284274193548387,1.2943548387096775,1.284274193548387,1.2943548387096775,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110100000010011011100010000110110000110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010000101101101000010000010110010010011
505,1.398019801980198,1.3702970297029704,1.3475247524752476,1.2792079207920792,1.2910891089108911,1.2792079207920792,1.306930693069307,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110100000010011011100010000110110000110100111110,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010000101101101000010000010110010010011100110000
514,1.4007782101167314,1.3735408560311284,1.3317120622568093,1.2918287937743191,1.3346303501945525,1.2918287937743191,1.3035019455252919,1111000001000010010001100101011100010011011111011001010010000101010001000111001000010100011010010110010000111101100000000100100001000101111000011101110000000110100111001000110100111100010010100011101011011010001110000001100100100010000100000011011000000011110000101001011011100010110001001001111110100011101001110011111011111010101110000001110101011000101111111110011110001000011101100101101011110000010101110000011000111110001111110101011010101010111010001110100000010011011100010000110110000110100111110011101011,0101100101110001101101111011010111111101100010000110010110010111001010111100110110100100010100100110111010001010010000011011001010100111111100111001001111100110100010000111101100111010010100000011010111101001000101011100110101010101110001000010100100000100100101010110000011011000011111101011011101101011111110001010001100101001111010000110010000100010100000100001101111010101011010001001010111011000011111110010100010100010100110111000111101110000001100110010000101101101000010000010110010010011100110000011010000
